Date,Open,High,Low,Close,Adj Close,Volume
2017-09-14,145.860001,146.380005,145.509995,145.539993,139.619675,3756900
2017-09-15,144.820007,145.169998,144.080002,144.820007,138.928970,7397200
2017-09-18,144.809998,145.479996,144.270004,144.550003,138.669952,3019500
2017-09-19,144.789993,144.979996,144.220001,144.389999,138.516464,3464400
2017-09-20,144.929993,145.880005,144.419998,145.880005,139.945862,5447500
2017-09-21,145.649994,145.889999,145.100006,145.259995,139.351074,2555600
2017-09-22,145.589996,145.589996,144.589996,145.130005,139.226364,2792300
2017-09-25,145.119995,146.029999,144.910004,145.869995,139.936249,5213100
2017-09-26,146.360001,147.419998,145.940002,146.559998,140.598206,4488600
2017-09-27,146.679993,146.899994,145.029999,145.660004,139.734802,3502700
2017-09-28,145.660004,145.860001,144.210007,145.660004,139.734802,2774800
2017-09-29,145.449997,145.690002,144.919998,145.080002,139.178391,2654700
2017-10-02,145.350006,146.869995,145.210007,146.660004,140.694138,2973200
2017-10-03,146.690002,147.199997,146.339996,146.779999,140.809235,2302700
2017-10-04,147.000000,147.020004,146.110001,146.479996,140.521439,2244400
2017-10-05,146.679993,147.539993,146.479996,146.720001,140.751678,2686500
2017-10-06,146.639999,146.850006,146.320007,146.479996,140.521439,2623200
2017-10-09,146.500000,147.789993,146.350006,147.389999,141.394424,2682600
2017-10-10,147.710007,148.949997,147.649994,148.500000,142.459274,4032600
2017-10-11,148.399994,148.470001,147.279999,147.619995,141.615067,3702200
2017-10-12,147.559998,147.889999,146.770004,147.029999,141.049088,3264300
2017-10-13,147.479996,147.850006,146.940002,147.100006,141.116226,2506600
2017-10-16,147.220001,147.669998,146.509995,146.830002,140.857208,3052100
2017-10-17,146.630005,147.119995,146.179993,146.539993,140.579010,6372400
2017-10-18,157.119995,161.229996,156.949997,159.529999,153.040588,30490200
2017-10-19,159.800003,160.960007,159.089996,160.899994,154.354858,9914200
2017-10-20,161.070007,162.479996,159.770004,162.070007,155.477280,7868800
2017-10-23,162.050003,162.509995,159.539993,159.550003,153.059799,5779400
2017-10-24,159.649994,159.699997,155.169998,155.880005,149.539063,8194700
2017-10-25,156.009995,156.369995,153.059998,153.500000,147.255875,6921100
